district,course_number,course_name,takers_FRPL,takers_nonFRPL,takers_F,takers_M,takers_NW,takers_W,enrolled,frac_girls,frac_nonwhite,frac_FRPL
TAYLOR,2000320,BIO 1 HON,42,20,43,19,21,41,62,0.6935,0.3387,0.6774
TAYLOR,2000350,ANAT PHYSIO,55,12,63,4,37,30,67,0.9403,0.5522,0.8209
TAYLOR,2001310,ERTH/SPA SCI,12,1,7,6,5,8,13,0.5385,0.3846,0.9231
TAYLOR,2001340,ENV SCI,92,31,52,71,58,65,123,0.4228,0.4715,0.748
TAYLOR,2002040,M/J COMPRE SCI 1,145,50,102,93,84,111,195,0.5231,0.4308,0.7436
TAYLOR,2002070,M/J COMPRE SCI 2,142,51,90,103,64,129,193,0.4663,0.3316,0.7358
TAYLOR,2002100,M/J COMPRE SCI 3,130,33,73,90,62,101,163,0.4479,0.3804,0.7975
TAYLOR,2003310,PHY SCI,0,0,0,0,0,0,0,0,0,0
TAYLOR,2003350,CHEM 1 HON,41,28,37,32,17,52,69,0.5362,0.2464,0.5942
TAYLOR,2003360,CHEM 2 HON,17,23,25,15,15,25,40,0.625,0.375,0.425
UF LAB SCH,2000320,BIO 1 HON,45,85,62,68,67,63,130,0.4769,0.5154,0.3462
UF LAB SCH,2000340,AP BIO,5,8,9,4,8,5,13,0.6923,0.6154,0.3846
UF LAB SCH,2000350,ANAT PHYSIO,0,0,0,0,0,0,0,0,0,0
UF LAB SCH,2000360,ANAT PHYSIO HON,13,22,18,17,19,16,35,0.5143,0.5429,0.3714
UF LAB SCH,2001310,ERTH/SPA SCI,0,0,0,0,0,0,0,0,0,0
UF LAB SCH,2001341,ENV SCI HON,7,7,10,4,7,7,14,0.7143,0.5,0.5
UF LAB SCH,2001350,ASTRONOMY S/G,0,0,0,0,0,0,0,0,0,0
UF LAB SCH,2001380,AP ENV SCI,3,11,8,6,6,8,14,0.5714,0.4286,0.2143
UF LAB SCH,2002040,M/J COMPRE SCI 1,35,75,56,54,65,45,110,0.5091,0.5909,0.3182
UF LAB SCH,2002070,M/J COMPRE SCI 2,48,62,54,56,59,51,110,0.4909,0.5364,0.4364
UF LAB SCH,2002100,M/J COMPRE SCI 3,40,70,54,56,54,56,110,0.4909,0.4909,0.3636
UF LAB SCH,2002340,EXP SCI 1 HON,0,0,0,0,0,0,0,0,0,0
UF LAB SCH,2002480,FORC SCI 1,0,0,0,0,0,0,0,0,0,0
UF LAB SCH,2002500,MARINE SCI 1,0,0,0,0,0,0,0,0,0,0
UF LAB SCH,2002510,MARINE SCI 1 HON,22,23,18,27,24,21,45,0.4,0.5333,0.4889
UF LAB SCH,2003350,CHEM 1 HON,44,69,52,61,63,50,113,0.4602,0.5575,0.3894
UF LAB SCH,2003370,AP CHEM,0,0,0,0,0,0,0,0,0,0
UF LAB SCH,2003380,PHYS 1,0,0,0,0,0,0,0,0,0,0
UF LAB SCH,2003390,PHYS 1 HON,13,24,18,19,16,21,37,0.4865,0.4324,0.3514
UNION,2000310,BIO 1,40,83,57,66,29,94,123,0.4634,0.2358,0.3252
UNION,2000320,BIO 1 HON,2,13,9,6,1,14,15,0.6,0.0667,0.1333
UNION,2000340,AP BIO,0,0,0,0,0,0,0,0,0,0
UNION,2000360,ANAT PHYSIO HON,0,0,0,0,0,0,0,0,0,0
UNION,2001310,ERTH/SPA SCI,0,0,0,0,0,0,0,0,0,0
UNION,2001340,ENV SCI,78,85,71,92,49,114,163,0.4356,0.3006,0.4785
UNION,2001341,ENV SCI HON,6,19,20,5,2,23,25,0.8,0.08,0.24
UNION,2001380,AP ENV SCI,3,11,4,10,1,13,14,0.2857,0.0714,0.2143
UNION,2002040,M/J COMPRE SCI 1,105,105,106,104,43,167,210,0.5048,0.2048,0.5
UNION,2002070,M/J COMPRE SCI 2,82,95,86,91,36,141,177,0.4859,0.2034,0.4633
UNION,2002100,M/J COMPRE SCI 3,75,110,84,101,37,148,185,0.4541,0.2,0.4054
UNION,2002350,EXP SCI 2 HON,0,0,0,0,0,0,0,0,0,0
UNION,2002500,MARINE SCI 1,0,0,0,0,0,0,0,0,0,0
UNION,2003310,PHY SCI,0,0,0,0,0,0,0,0,0,0
UNION,2003340,CHEM 1,8,18,12,14,6,20,26,0.4615,0.2308,0.3077
UNION,2003350,CHEM 1 HON,0,0,0,0,0,0,0,0,0,0
VOLUSIA,2000310,BIO 1,1419,613,875,1157,1022,1010,2032,0.4306,0.503,0.6983
VOLUSIA,2000315,BIO 1 CR,13,2,3,12,9,6,15,0.2,0.6,0.8667
VOLUSIA,2000320,BIO 1 HON,1196,1066,1164,1098,765,1497,2262,0.5146,0.3382,0.5287
VOLUSIA,2000322,PRE-AICE BIO IG,97,122,133,86,98,121,219,0.6073,0.4475,0.4429
VOLUSIA,2000330,BIO 2 HON,0,0,0,0,0,0,0,0,0,0
VOLUSIA,2000340,AP BIO,108,131,152,87,101,138,239,0.636,0.4226,0.4519
VOLUSIA,2000350,ANAT PHYSIO,51,39,56,34,37,53,90,0.6222,0.4111,0.5667
VOLUSIA,2000360,ANAT PHYSIO HON,267,266,359,174,217,316,533,0.6735,0.4071,0.5009
VOLUSIA,2000800,FL PRE-IB BIO 1,73,181,143,111,90,164,254,0.563,0.3543,0.2874
VOLUSIA,2000805,IB BIOLOGY 1,10,23,26,7,11,22,33,0.7879,0.3333,0.303
VOLUSIA,2000810,IB BIOLOGY 2,20,69,55,34,28,61,89,0.618,0.3146,0.2247
VOLUSIA,2000820,IB BIOLOGY 3,17,64,36,45,31,50,81,0.4444,0.3827,0.2099
VOLUSIA,2001310,ERTH/SPA SCI,1003,328,567,764,719,612,1331,0.426,0.5402,0.7536
VOLUSIA,2001320,ERTH/SPA SCI HON,257,174,201,230,83,348,431,0.4664,0.1926,0.5963
