district,course_number,course_name,takers_FRPL,takers_nonFRPL,takers_F,takers_M,takers_NW,takers_W,enrolled,frac_girls,frac_nonwhite,frac_FRPL
BAY,2003800,FL PRE-IB CHEM 1,25,12,28,9,13,24,37,0.7568,0.3514,0.6757
BAY,2003840,IB PHYSICS 1,4,8,4,8,3,9,12,0.3333,0.25,0.3333
BAY,2003845,IB PHYSICS 2,0,0,0,0,0,0,0,0,0,0
BRADFORD,2000010,M/J LIF SCI,11,14,11,14,7,18,25,0.44,0.28,0.44
BRADFORD,2000310,BIO 1,76,36,61,51,33,79,112,0.5446,0.2946,0.6786
BRADFORD,2000320,BIO 1 HON,19,33,23,29,6,46,52,0.4423,0.1154,0.3654
BRADFORD,2000350,ANAT PHYSIO,23,22,33,12,12,33,45,0.7333,0.2667,0.5111
BRADFORD,2000360,ANAT PHYSIO HON,4,16,8,12,5,15,20,0.4,0.25,0.2
BRADFORD,2001310,ERTH/SPA SCI,44,41,34,51,28,57,85,0.4,0.3294,0.5176
BRADFORD,2001340,ENV SCI,93,68,82,79,47,114,161,0.5093,0.2919,0.5776
BRADFORD,2002040,M/J COMPRE SCI 1,121,56,91,86,64,113,177,0.5141,0.3616,0.6836
BRADFORD,2002050,M/J COMPRE SCI 1 ADV,16,25,18,23,7,34,41,0.439,0.1707,0.3902
BRADFORD,2002070,M/J COMPRE SCI 2,106,59,88,77,47,118,165,0.5333,0.2848,0.6424
BRADFORD,2002080,M/J COMPRE SCI 2 ADV,12,35,27,20,10,37,47,0.5745,0.2128,0.2553
BRADFORD,2002100,M/J COMPRE SCI 3,93,55,68,80,44,104,148,0.4595,0.2973,0.6284
BRADFORD,2002110,M/J COMPRE SCI 3 ADV,21,30,32,19,13,38,51,0.6275,0.2549,0.4118
BRADFORD,2003310,PHY SCI,0,0,0,0,0,0,0,0,0,0
BRADFORD,2003340,CHEM 1,7,12,6,13,8,11,19,0.3158,0.4211,0.3684
BRADFORD,2003350,CHEM 1 HON,9,17,13,13,9,17,26,0.5,0.3462,0.3462
BRADFORD,2003370,AP CHEM,2,9,5,6,0,11,11,0.4545,0,0.1818
BRADFORD,2003380,PHYS 1,0,0,0,0,0,0,0,0,0,0
BREVARD,2000310,BIO 1,1684,1105,1233,1556,1325,1464,2789,0.4421,0.4751,0.6038
BREVARD,2000320,BIO 1 HON,741,1685,1280,1146,754,1672,2426,0.5276,0.3108,0.3054
BREVARD,2000321,AICE BIO 1 AS,27,32,38,21,35,24,59,0.6441,0.5932,0.4576
BREVARD,2000322,PRE-AICE BIO IG,128,203,205,126,133,198,331,0.6193,0.4018,0.3867
BREVARD,2000323,AICE BIO 2 AL,7,7,11,3,6,8,14,0.7857,0.4286,0.5
BREVARD,2000330,BIO 2 HON,42,73,76,39,56,59,115,0.6609,0.487,0.3652
BREVARD,2000340,AP BIO,48,207,150,105,82,173,255,0.5882,0.3216,0.1882
BREVARD,2000350,ANAT PHYSIO,82,82,94,70,84,80,164,0.5732,0.5122,0.5
BREVARD,2000360,ANAT PHYSIO HON,240,556,524,272,289,507,796,0.6583,0.3631,0.3015
BREVARD,2000410,ZOOLOGY,123,121,137,107,122,122,244,0.5615,0.5,0.5041
BREVARD,2000430,BIOTECH,0,0,0,0,0,0,0,0,0,0
BREVARD,2000500,BIOSCIENCE 1 HON,0,0,0,0,0,0,0,0,0,0
BREVARD,2000800,FL PRE-IB BIO 1,11,38,26,23,12,37,49,0.5306,0.2449,0.2245
BREVARD,2000805,IB BIOLOGY 1,4,28,19,13,15,17,32,0.5938,0.4688,0.125
BREVARD,2000810,IB BIOLOGY 2,4,23,16,11,6,21,27,0.5926,0.2222,0.1481
BREVARD,2000820,IB BIOLOGY 3,0,12,10,2,2,10,12,0.8333,0.1667,0
BREVARD,2000850,IB MYP BIOLOGY,6,70,44,32,19,57,76,0.5789,0.25,0.0789
BREVARD,2001310,ERTH/SPA SCI,65,54,42,77,64,55,119,0.3529,0.5378,0.5462
BREVARD,2001320,ERTH/SPA SCI HON,0,0,0,0,0,0,0,0,0,0
BREVARD,2001340,ENV SCI,111,92,89,114,99,104,203,0.4384,0.4877,0.5468
BREVARD,2001341,ENV SCI HON,6,11,10,7,2,15,17,0.5882,0.1176,0.3529
BREVARD,2001375,IB ENV SYS & SOC 2,0,0,0,0,0,0,0,0,0,0
BREVARD,2001380,AP ENV SCI,22,166,119,69,60,128,188,0.633,0.3191,0.117
BREVARD,2001381,AICE ENV MGMNT AS,22,43,45,20,22,43,65,0.6923,0.3385,0.3385
BREVARD,2002040,M/J COMPRE SCI 1,2993,2673,2727,2939,2329,3337,5666,0.4813,0.411,0.5282
BREVARD,2002050,M/J COMPRE SCI 1 ADV,3,36,19,20,9,30,39,0.4872,0.2308,0.0769
BREVARD,2002070,M/J COMPRE SCI 2,1707,691,1074,1324,1191,1207,2398,0.4479,0.4967,0.7118
BREVARD,2002080,M/J COMPRE SCI 2 ADV,1018,1539,1331,1226,787,1770,2557,0.5205,0.3078,0.3981
BREVARD,2002085,M/J COMPSCI2 ACC HON,15,70,35,50,28,57,85,0.4118,0.3294,0.1765
BREVARD,2002086,M/J SCI 2 CLS,70,171,137,104,66,175,241,0.5685,0.2739,0.2905
BREVARD,2002090,M/J IB MYP COMP SCI2,45,105,73,77,36,114,150,0.4867,0.24,0.3
BREVARD,2002100,M/J COMPRE SCI 3,1540,637,973,1204,1115,1062,2177,0.4469,0.5122,0.7074
BREVARD,2002110,M/J COMPRE SCI 3 ADV,1114,1736,1496,1354,923,1927,2850,0.5249,0.3239,0.3909
BREVARD,2002115,M/J SCI 3 CLS,61,198,148,111,68,191,259,0.5714,0.2625,0.2355
BREVARD,2002120,M/J IB MYP COMP SCI3,14,63,50,27,20,57,77,0.6494,0.2597,0.1818
BREVARD,2002200,M/J STEM ENV SCI,19,0,5,14,11,8,19,0.2632,0.5789,1
BREVARD,2002340,EXP SCI 1 HON,26,154,91,89,63,117,180,0.5056,0.35,0.1444
BREVARD,2002350,EXP SCI 2 HON,9,43,18,34,17,35,52,0.3462,0.3269,0.1731
BREVARD,2002360,EXP SCI 3 HON,4,25,10,19,7,22,29,0.3448,0.2414,0.1379
BREVARD,2002370,EXP SCI 4 HON,8,26,15,19,12,22,34,0.4412,0.3529,0.2353
BREVARD,2002400,INTEG SCI 1,62,22,25,59,45,39,84,0.2976,0.5357,0.7381
BREVARD,2002420,INTEG SCI 2,38,17,17,38,32,23,55,0.3091,0.5818,0.6909
BREVARD,2002440,INTEG SCI 3,254,135,133,256,202,187,389,0.3419,0.5193,0.653
BREVARD,2002450,INTEG SCI 3 HON,53,37,50,40,48,42,90,0.5556,0.5333,0.5889
BREVARD,2002480,FORC SCI 1,374,449,443,380,361,462,823,0.5383,0.4386,0.4544
BREVARD,2002490,FORC SCI 2,7,8,11,4,5,10,15,0.7333,0.3333,0.4667
BREVARD,2002500,MARINE SCI 1,404,429,359,474,342,491,833,0.431,0.4106,0.485
BREVARD,2002510,MARINE SCI 1 HON,116,451,273,294,137,430,567,0.4815,0.2416,0.2046
BREVARD,2002515,AICE MARINE SCI 1 AS,74,128,128,74,99,103,202,0.6337,0.4901,0.3663
BREVARD,2002530,MARINE SCI 2 HON,4,32,20,16,13,23,36,0.5556,0.3611,0.1111
BREVARD,2002535,AICE MARINE SCI 2 AL,12,21,20,13,12,21,33,0.6061,0.3636,0.3636
BREVARD,2003310,PHY SCI,1517,895,1025,1387,1242,1170,2412,0.425,0.5149,0.6289
BREVARD,2003340,CHEM 1,722,706,671,757,540,888,1428,0.4699,0.3782,0.5056
BREVARD,2003350,CHEM 1 HON,610,1374,1078,906,607,1377,1984,0.5433,0.3059,0.3075
BREVARD,2003360,CHEM 2 HON,8,34,19,23,13,29,42,0.4524,0.3095,0.1905
BREVARD,2003370,AP CHEM,34,110,77,67,47,97,144,0.5347,0.3264,0.2361
BREVARD,2003372,PRE-AICE CHEM IG,57,155,132,80,86,126,212,0.6226,0.4057,0.2689
BREVARD,2003380,PHYS 1,476,799,627,648,451,824,1275,0.4918,0.3537,0.3733
BREVARD,2003390,PHYS 1 HON,340,829,622,547,371,798,1169,0.5321,0.3174,0.2908
BREVARD,2003421,AP PHYSICS 1,87,384,180,291,136,335,471,0.3822,0.2887,0.1847
BREVARD,2003422,AP PHYSICS 2,1,36,7,30,15,22,37,0.1892,0.4054,0.027
BREVARD,2003430,AP PHYSICS C: ME,3,41,13,31,15,29,44,0.2955,0.3409,0.0682
BREVARD,2003431,AICE PHYSICS 1 AS,3,36,13,26,12,27,39,0.3333,0.3077,0.0769
BREVARD,2003432,PRE-AICE PHYSICS IG,28,122,92,58,58,92,150,0.6133,0.3867,0.1867
BREVARD,2003433,AICE PHYSICS 2 AL,0,0,0,0,0,0,0,0,0,0
BREVARD,2003800,FL PRE-IB CHEM 1,8,36,31,13,14,30,44,0.7045,0.3182,0.1818
BREVARD,2003805,IB CHEMISTRY 1,3,29,12,20,9,23,32,0.375,0.2813,0.0938
BREVARD,2003810,IB CHEMISTRY 2,1,14,6,9,2,13,15,0.4,0.1333,0.0667
BREVARD,2003820,IB CHEMISTRY 3,1,16,7,10,5,12,17,0.4118,0.2941,0.0588
BREVARD,2003830,IB MYP CHEM,6,52,39,19,16,42,58,0.6724,0.2759,0.1034
BREVARD,2003845,IB PHYSICS 2,1,9,3,7,2,8,10,0.3,0.2,0.1
BREVARD,2020910,ASTR S/G HON,53,134,85,102,52,135,187,0.4545,0.2781,0.2834
BROWARD,2000010,M/J LIF SCI,6929,2590,4216,5303,8187,1332,9519,0.4429,0.8601,0.7279
BROWARD,2000020,M/J LIF SCI ADV,3196,3277,3483,2990,4644,1829,6473,0.5381,0.7174,0.4937
BROWARD,2000025,M/J STEM LIFE SCI,72,21,35,58,80,13,93,0.3763,0.8602,0.7742
BROWARD,2000030,M/J IB MYP LIFE SCI,123,30,85,68,144,9,153,0.5556,0.9412,0.8039
BROWARD,2000310,BIO 1,7034,3439,4527,5946,9039,1434,10473,0.4323,0.8631,0.6716
BROWARD,2000315,BIO 1 CR,0,0,0,0,0,0,0,0,0,0
BROWARD,2000320,BIO 1 HON,4002,4461,4689,3774,6189,2274,8463,0.5541,0.7313,0.4729
BROWARD,2000321,AICE BIO 1 AS,56,87,90,53,95,48,143,0.6294,0.6643,0.3916
BROWARD,2000322,PRE-AICE BIO IG,406,471,502,375,617,260,877,0.5724,0.7035,0.4629
BROWARD,2000323,AICE BIO 2 AL,0,0,0,0,0,0,0,0,0,0
BROWARD,2000330,BIO 2 HON,23,74,57,40,57,40,97,0.5876,0.5876,0.2371
BROWARD,2000340,AP BIO,417,727,736,408,829,315,1144,0.6434,0.7247,0.3645
BROWARD,2000350,ANAT PHYSIO,813,356,639,530,1023,146,1169,0.5466,0.8751,0.6955
BROWARD,2000360,ANAT PHYSIO HON,1950,1828,2440,1338,2900,878,3778,0.6458,0.7676,0.5161
BROWARD,2000410,ZOOLOGY,34,73,54,53,73,34,107,0.5047,0.6822,0.3178
BROWARD,2000440,GENETICS HON,162,81,176,67,207,36,243,0.7243,0.8519,0.6667
BROWARD,2000800,FL PRE-IB BIO 1,37,23,38,22,53,7,60,0.6333,0.8833,0.6167
BROWARD,2000810,IB BIOLOGY 2,30,24,38,16,40,14,54,0.7037,0.7407,0.5556
BROWARD,2000820,IB BIOLOGY 3,59,54,67,46,98,15,113,0.5929,0.8673,0.5221
BROWARD,2000850,IB MYP BIOLOGY,198,175,201,172,305,68,373,0.5389,0.8177,0.5308
BROWARD,2001010,M/J ERTH/SPA SCI,6910,2703,4503,5110,8204,1409,9613,0.4684,0.8534,0.7188
BROWARD,2001020,M/J ERTH/SPA SCI ADV,2756,2895,3003,2648,4011,1640,5651,0.5314,0.7098,0.4877
BROWARD,2001025,M/J STEM ASTRO/SPACE,155,78,98,135,194,39,233,0.4206,0.8326,0.6652
BROWARD,2001030,M/J IB MYP ERT/SP SC,212,58,128,142,249,21,270,0.4741,0.9222,0.7852
BROWARD,2001310,ERTH/SPA SCI,1195,574,649,1120,1552,217,1769,0.3669,0.8773,0.6755
BROWARD,2001320,ERTH/SPA SCI HON,55,81,61,75,106,30,136,0.4485,0.7794,0.4044
BROWARD,2001340,ENV SCI,6926,2731,4239,5418,8356,1301,9657,0.439,0.8653,0.7172
BROWARD,2001341,ENV SCI HON,1096,990,1025,1061,1535,551,2086,0.4914,0.7359,0.5254
BROWARD,2001342,PRE-AICE ENV MGMT IG,36,17,30,23,39,14,53,0.566,0.7358,0.6792
BROWARD,2001370,IB ENV SYS & SOC 1,53,27,43,37,64,16,80,0.5375,0.8,0.6625
BROWARD,2001380,AP ENV SCI,464,821,756,529,834,451,1285,0.5883,0.649,0.3611
BROWARD,2001381,AICE ENV MGMNT AS,150,221,206,165,244,127,371,0.5553,0.6577,0.4043
BROWARD,2001390,PRE-AICE COORSCI 1IG,44,11,30,25,45,10,55,0.5455,0.8182,0.8
BROWARD,2002040,M/J COMPRE SCI 1,1196,647,965,878,1566,277,1843,0.5236,0.8497,0.6489
BROWARD,2002050,M/J COMPRE SCI 1 ADV,468,373,460,381,667,174,841,0.547,0.7931,0.5565
BROWARD,2002055,M/J COMPSCI1 ACC HON,637,469,583,523,843,263,1106,0.5271,0.7622,0.5759
BROWARD,2002056,M/J SCI 1 CLS,158,202,186,174,300,60,360,0.5167,0.8333,0.4389
BROWARD,2002060,M/J IB MYP COMP SCI1,86,59,59,86,133,12,145,0.4069,0.9172,0.5931
BROWARD,2002070,M/J COMPRE SCI 2,1352,613,1003,962,1674,291,1965,0.5104,0.8519,0.688
BROWARD,2002080,M/J COMPRE SCI 2 ADV,438,324,433,329,553,209,762,0.5682,0.7257,0.5748
BROWARD,2002085,M/J COMPSCI2 ACC HON,287,504,374,417,465,326,791,0.4728,0.5879,0.3628
BROWARD,2002086,M/J SCI 2 CLS,109,227,174,162,273,63,336,0.5179,0.8125,0.3244
BROWARD,2002090,M/J IB MYP COMP SCI2,128,108,115,121,198,38,236,0.4873,0.839,0.5424
BROWARD,2002100,M/J COMPRE SCI 3,1225,601,901,925,1529,297,1826,0.4934,0.8373,0.6709
BROWARD,2002110,M/J COMPRE SCI 3 ADV,276,261,297,240,395,142,537,0.5531,0.7356,0.514
BROWARD,2002115,M/J SCI 3 CLS,79,82,84,77,141,20,161,0.5217,0.8758,0.4907
BROWARD,2002120,M/J IB MYP COMP SCI3,121,111,122,110,189,43,232,0.5259,0.8147,0.5216
BROWARD,2002200,M/J STEM ENV SCI,150,45,77,118,178,17,195,0.3949,0.9128,0.7692
BROWARD,2002340,EXP SCI 1 HON,128,167,146,149,178,117,295,0.4949,0.6034,0.4339
BROWARD,2002350,EXP SCI 2 HON,88,118,102,104,121,85,206,0.4951,0.5874,0.4272
BROWARD,2002360,EXP SCI 3 HON,62,67,71,58,84,45,129,0.5504,0.6512,0.4806
BROWARD,2002370,EXP SCI 4 HON,42,60,58,44,51,51,102,0.5686,0.5,0.4118
BROWARD,2002400,INTEG SCI 1,194,67,105,156,247,14,261,0.4023,0.9464,0.7433
BROWARD,2002410,INTEG SCI 1 HON,47,89,69,67,60,76,136,0.5074,0.4412,0.3456
BROWARD,2002415,IB MYP INTEG SCI,87,77,72,92,140,24,164,0.439,0.8537,0.5305
BROWARD,2002430,INTEG SCI 2 HON,49,58,40,67,67,40,107,0.3738,0.6262,0.4579
BROWARD,2002450,INTEG SCI 3 HON,11,2,5,8,10,3,13,0.3846,0.7692,0.8462
BROWARD,2002480,FORC SCI 1,1128,962,1167,923,1563,527,2090,0.5584,0.7478,0.5397
BROWARD,2002490,FORC SCI 2,75,97,110,62,109,63,172,0.6395,0.6337,0.436
BROWARD,2002500,MARINE SCI 1,2362,1191,1463,2090,3007,546,3553,0.4118,0.8463,0.6648
BROWARD,2002510,MARINE SCI 1 HON,1198,1479,1309,1368,1808,869,2677,0.489,0.6754,0.4475
BROWARD,2002515,AICE MARINE SCI 1 AS,288,742,602,428,645,385,1030,0.5845,0.6262,0.2796
BROWARD,2002520,MARINE SCI 2,62,90,83,69,78,74,152,0.5461,0.5132,0.4079
BROWARD,2002530,MARINE SCI 2 HON,126,143,139,130,159,110,269,0.5167,0.5911,0.4684
BROWARD,2002535,AICE MARINE SCI 2 AL,26,78,64,40,66,38,104,0.6154,0.6346,0.25
BROWARD,2003010,M/J PHY SCI,6352,2573,3976,4949,7583,1342,8925,0.4455,0.8496,0.7117
BROWARD,2003020,M/J PHY SCI ADV,2552,2975,2904,2623,3798,1729,5527,0.5254,0.6872,0.4617
BROWARD,2003030,M/J STEM PHYSIC SCI,27,35,24,38,51,11,62,0.3871,0.8226,0.4355
BROWARD,2003310,PHY SCI,1421,817,856,1382,1926,312,2238,0.3825,0.8606,0.6349
BROWARD,2003320,PHY SCI HON,471,455,460,466,702,224,926,0.4968,0.7581,0.5086
BROWARD,2003340,CHEM 1,3454,2413,2789,3078,4810,1057,5867,0.4754,0.8198,0.5887
BROWARD,2003350,CHEM 1 HON,2889,3541,3620,2810,4576,1854,6430,0.563,0.7117,0.4493
BROWARD,2003360,CHEM 2 HON,51,49,57,43,72,28,100,0.57,0.72,0.51
BROWARD,2003370,AP CHEM,180,353,280,253,378,155,533,0.5253,0.7092,0.3377
BROWARD,2003371,AICE CHEM 1 AS,3,25,20,8,18,10,28,0.7143,0.6429,0.1071
BROWARD,2003380,PHYS 1,409,435,340,504,684,160,844,0.4028,0.8104,0.4846
BROWARD,2003390,PHYS 1 HON,1322,1489,1363,1448,2106,705,2811,0.4849,0.7492,0.4703
BROWARD,2003421,AP PHYSICS 1,217,506,257,466,491,232,723,0.3555,0.6791,0.3001
BROWARD,2003422,AP PHYSICS 2,29,62,40,51,69,22,91,0.4396,0.7582,0.3187
BROWARD,2003425,AP PHYSICS C: E&M,5,31,9,27,19,17,36,0.25,0.5278,0.1389
BROWARD,2003430,AP PHYSICS C: ME,29,113,41,101,96,46,142,0.2887,0.6761,0.2042
BROWARD,2003431,AICE PHYSICS 1 AS,9,29,14,24,22,16,38,0.3684,0.5789,0.2368
BROWARD,2003800,FL PRE-IB CHEM 1,50,27,40,37,72,5,77,0.5195,0.9351,0.6494
BROWARD,2003810,IB CHEMISTRY 2,12,8,13,7,17,3,20,0.65,0.85,0.6
BROWARD,2003820,IB CHEMISTRY 3,6,16,8,14,19,3,22,0.3636,0.8636,0.2727
BROWARD,2003830,IB MYP CHEM,105,142,139,108,196,51,247,0.5628,0.7935,0.4251
BROWARD,2003840,IB PHYSICS 1,0,0,0,0,0,0,0,0,0,0
BROWARD,2003845,IB PHYSICS 2,7,9,7,9,13,3,16,0.4375,0.8125,0.4375
BROWARD,2003850,IB PHYSICS 3,13,22,13,22,25,10,35,0.3714,0.7143,0.3714
BROWARD,2003855,IB MYP PHYSICS,5,6,7,4,8,3,11,0.6364,0.7273,0.4545
BROWARD,2020910,ASTR S/G HON,206,388,287,307,362,232,594,0.4832,0.6094,0.3468
CALHOUN,2000310,BIO 1,58,18,31,45,10,66,76,0.4079,0.1316,0.7632
CALHOUN,2000315,BIO 1 CR,0,0,0,0,0,0,0,0,0,0
CALHOUN,2000320,BIO 1 HON,45,35,47,33,13,67,80,0.5875,0.1625,0.5625
CALHOUN,2000360,ANAT PHYSIO HON,28,25,28,25,18,35,53,0.5283,0.3396,0.5283
CALHOUN,2001310,ERTH/SPA SCI,0,0,0,0,0,0,0,0,0,0
CALHOUN,2002040,M/J COMPRE SCI 1,128,45,88,85,42,131,173,0.5087,0.2428,0.7399
CALHOUN,2002070,M/J COMPRE SCI 2,132,46,93,85,40,138,178,0.5225,0.2247,0.7416
CALHOUN,2002100,M/J COMPRE SCI 3,87,33,56,64,16,104,120,0.4667,0.1333,0.725
CALHOUN,2002110,M/J COMPRE SCI 3 ADV,40,13,26,27,15,38,53,0.4906,0.283,0.7547
CALHOUN,2002340,EXP SCI 1 HON,6,15,5,16,3,18,21,0.2381,0.1429,0.2857
CALHOUN,2002350,EXP SCI 2 HON,0,0,0,0,0,0,0,0,0,0
CALHOUN,2002360,EXP SCI 3 HON,0,0,0,0,0,0,0,0,0,0
CALHOUN,2002500,MARINE SCI 1,12,5,8,9,7,10,17,0.4706,0.4118,0.7059
CALHOUN,2003310,PHY SCI,44,12,25,31,14,42,56,0.4464,0.25,0.7857
CALHOUN,2003320,PHY SCI HON,26,23,26,23,10,39,49,0.5306,0.2041,0.5306
CALHOUN,2003350,CHEM 1 HON,12,7,12,7,5,14,19,0.6316,0.2632,0.6316
CALHOUN,2003421,AP PHYSICS 1,6,8,4,10,2,12,14,0.2857,0.1429,0.4286
CHARLOTTE,2000010,M/J LIF SCI,492,446,445,493,308,630,938,0.4744,0.3284,0.5245
CHARLOTTE,2000020,M/J LIF SCI ADV,61,135,94,102,54,142,196,0.4796,0.2755,0.3112
CHARLOTTE,2000310,BIO 1,449,403,384,468,264,588,852,0.4507,0.3099,0.527
CHARLOTTE,2000320,BIO 1 HON,100,171,145,126,62,209,271,0.5351,0.2288,0.369
CHARLOTTE,2000340,AP BIO,11,42,30,23,12,41,53,0.566,0.2264,0.2075
CHARLOTTE,2000350,ANAT PHYSIO,110,158,164,104,71,197,268,0.6119,0.2649,0.4104
CHARLOTTE,2000360,ANAT PHYSIO HON,44,75,80,39,31,88,119,0.6723,0.2605,0.3697
CHARLOTTE,2000440,GENETICS HON,9,34,31,12,4,39,43,0.7209,0.093,0.2093
CHARLOTTE,2001010,M/J ERTH/SPA SCI,494,404,448,450,297,601,898,0.4989,0.3307,0.5501
CHARLOTTE,2001020,M/J ERTH/SPA SCI ADV,58,119,82,95,47,130,177,0.4633,0.2655,0.3277
CHARLOTTE,2001310,ERTH/SPA SCI,379,305,287,397,275,409,684,0.4196,0.402,0.5541
CHARLOTTE,2001340,ENV SCI,336,193,218,311,211,318,529,0.4121,0.3989,0.6352
CHARLOTTE,2001341,ENV SCI HON,27,32,26,33,17,42,59,0.4407,0.2881,0.4576
CHARLOTTE,2001380,AP ENV SCI,12,28,27,13,8,32,40,0.675,0.2,0.3
CHARLOTTE,2002040,M/J COMPRE SCI 1,0,10,6,4,2,8,10,0.6,0.2,0
CHARLOTTE,2002050,M/J COMPRE SCI 1 ADV,0,0,0,0,0,0,0,0,0,0
CHARLOTTE,2002070,M/J COMPRE SCI 2,2,9,4,7,3,8,11,0.3636,0.2727,0.1818
CHARLOTTE,2002080,M/J COMPRE SCI 2 ADV,0,0,0,0,0,0,0,0,0,0
CHARLOTTE,2002100,M/J COMPRE SCI 3,1,9,6,4,1,9,10,0.6,0.1,0.1
CHARLOTTE,2002110,M/J COMPRE SCI 3 ADV,0,0,0,0,0,0,0,0,0,0
CHARLOTTE,2002400,INTEG SCI 1,7,10,3,14,3,14,17,0.1765,0.1765,0.4118
CHARLOTTE,2002480,FORC SCI 1,7,23,24,6,5,25,30,0.8,0.1667,0.2333
CHARLOTTE,2002500,MARINE SCI 1,216,205,174,247,118,303,421,0.4133,0.2803,0.5131
CHARLOTTE,2002510,MARINE SCI 1 HON,0,0,0,0,0,0,0,0,0,0
CHARLOTTE,2002515,AICE MARINE SCI 1 AS,16,36,30,22,11,41,52,0.5769,0.2115,0.3077
CHARLOTTE,2002520,MARINE SCI 2,19,32,21,30,4,47,51,0.4118,0.0784,0.3725
CHARLOTTE,2003010,M/J PHY SCI,472,355,401,426,281,546,827,0.4849,0.3398,0.5707
CHARLOTTE,2003310,PHY SCI,21,21,17,25,6,36,42,0.4048,0.1429,0.5
CHARLOTTE,2003320,PHY SCI HON,71,154,125,100,58,167,225,0.5556,0.2578,0.3156
CHARLOTTE,2003340,CHEM 1,130,146,146,130,71,205,276,0.529,0.2572,0.471
CHARLOTTE,2003350,CHEM 1 HON,150,276,259,167,116,310,426,0.608,0.2723,0.3521
CHARLOTTE,2003360,CHEM 2 HON,5,12,14,3,6,11,17,0.8235,0.3529,0.2941
CHARLOTTE,2003370,AP CHEM,7,20,17,10,11,16,27,0.6296,0.4074,0.2593
CHARLOTTE,2003380,PHYS 1,6,6,2,10,4,8,12,0.1667,0.3333,0.5
CHARLOTTE,2003390,PHYS 1 HON,28,55,29,54,25,58,83,0.3494,0.3012,0.3373
CHARLOTTE,2003421,AP PHYSICS 1,0,0,0,0,0,0,0,0,0,0
CHARLOTTE,2003600,PRINC TECH 1,10,14,2,22,8,16,24,0.0833,0.3333,0.4167
CITRUS,2000310,BIO 1,363,189,220,332,135,417,552,0.3986,0.2446,0.6576
CITRUS,2000320,BIO 1 HON,249,265,332,182,82,432,514,0.6459,0.1595,0.4844
CITRUS,2000350,ANAT PHYSIO,26,29,31,24,11,44,55,0.5636,0.2,0.4727
CITRUS,2000360,ANAT PHYSIO HON,27,27,38,16,10,44,54,0.7037,0.1852,0.5
CITRUS,2000380,ECOLOGY,11,16,16,11,2,25,27,0.5926,0.0741,0.4074
CITRUS,2000410,ZOOLOGY,0,0,0,0,0,0,0,0,0,0
CITRUS,2000800,FL PRE-IB BIO 1,50,70,79,41,35,85,120,0.6583,0.2917,0.4167
CITRUS,2000810,IB BIOLOGY 2,19,47,45,21,24,42,66,0.6818,0.3636,0.2879
CITRUS,2000820,IB BIOLOGY 3,21,44,46,19,20,45,65,0.7077,0.3077,0.3231
CITRUS,2001010,M/J ERTH/SPA SCI,0,0,0,0,0,0,0,0,0,0
CITRUS,2001310,ERTH/SPA SCI,189,80,87,182,76,193,269,0.3234,0.2825,0.7026
CITRUS,2001330,METEOROLOGY HONORS,22,30,23,29,5,47,52,0.4423,0.0962,0.4231
CITRUS,2001340,ENV SCI,648,242,363,527,169,721,890,0.4079,0.1899,0.7281
CITRUS,2001341,ENV SCI HON,158,135,175,118,51,242,293,0.5973,0.1741,0.5392
CITRUS,2001380,AP ENV SCI,0,0,0,0,0,0,0,0,0,0
CITRUS,2001820,IB SPORTS EXER SCI 1,1,14,8,7,4,11,15,0.5333,0.2667,0.0667
CITRUS,2002040,M/J COMPRE SCI 1,679,168,402,445,164,683,847,0.4746,0.1936,0.8017
CITRUS,2002050,M/J COMPRE SCI 1 ADV,198,164,177,185,53,309,362,0.489,0.1464,0.547
CITRUS,2002070,M/J COMPRE SCI 2,577,182,370,389,169,590,759,0.4875,0.2227,0.7602
CITRUS,2002080,M/J COMPRE SCI 2 ADV,209,212,229,192,77,344,421,0.5439,0.1829,0.4964
CITRUS,2002100,M/J COMPRE SCI 3,549,177,326,400,159,567,726,0.449,0.219,0.7562
CITRUS,2002110,M/J COMPRE SCI 3 ADV,195,187,207,175,69,313,382,0.5419,0.1806,0.5105
CITRUS,2002400,INTEG SCI 1,0,0,0,0,0,0,0,0,0,0
CITRUS,2002500,MARINE SCI 1,116,62,83,95,41,137,178,0.4663,0.2303,0.6517
CITRUS,2002510,MARINE SCI 1 HON,54,71,70,55,20,105,125,0.56,0.16,0.432
CITRUS,2003310,PHY SCI,40,28,22,46,17,51,68,0.3235,0.25,0.5882
CITRUS,2003320,PHY SCI HON,6,5,8,3,3,8,11,0.7273,0.2727,0.5455
CITRUS,2003340,CHEM 1,130,91,108,113,44,177,221,0.4887,0.1991,0.5882
CITRUS,2003350,CHEM 1 HON,96,118,120,94,33,181,214,0.5607,0.1542,0.4486
CITRUS,2003360,CHEM 2 HON,14,17,7,24,9,22,31,0.2258,0.2903,0.4516
CITRUS,2003370,AP CHEM,10,11,4,17,6,15,21,0.1905,0.2857,0.4762
CITRUS,2003390,PHYS 1 HON,6,5,3,8,2,9,11,0.2727,0.1818,0.5455
CITRUS,2003421,AP PHYSICS 1,6,16,8,14,11,11,22,0.3636,0.5,0.2727
CITRUS,2003500,RENEWABLE ENERGY 1 H,16,9,8,17,5,20,25,0.32,0.2,0.64
CITRUS,2003800,FL PRE-IB CHEM 1,33,54,50,37,27,60,87,0.5747,0.3103,0.3793
